"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"d:\_KienCuongAuto_\README.md", "Markdown", 118, 0, 0, 0, 0, 0, 0, 0, 38, 156
"d:\_KienCuongAuto_\backend\controllers\authController.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\_KienCuongAuto_\backend\middlewares\auth.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\_KienCuongAuto_\backend\middlewares\rateLimiter.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 4, 3, 27
"d:\_KienCuongAuto_\backend\middlewares\upload.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\_KienCuongAuto_\backend\middlewares\verifyToken.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"d:\_KienCuongAuto_\backend\models\Branch.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"d:\_KienCuongAuto_\backend\models\Car.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"d:\_KienCuongAuto_\backend\models\GlobalStat.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 2, 3, 21
"d:\_KienCuongAuto_\backend\models\User.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"d:\_KienCuongAuto_\backend\models\Visit.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 2, 3, 35
"d:\_KienCuongAuto_\backend\package-lock.json", "JSON", 0, 2242, 0, 0, 0, 0, 0, 0, 1, 2243
"d:\_KienCuongAuto_\backend\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"d:\_KienCuongAuto_\backend\routes\analytics.js", "JavaScript", 0, 0, 0, 142, 0, 0, 0, 27, 30, 199
"d:\_KienCuongAuto_\backend\routes\auth.js", "JavaScript", 0, 0, 0, 121, 0, 0, 0, 7, 25, 153
"d:\_KienCuongAuto_\backend\routes\branchRoutes.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\_KienCuongAuto_\backend\routes\cars.js", "JavaScript", 0, 0, 0, 169, 0, 0, 0, 34, 32, 235
"d:\_KienCuongAuto_\backend\seed\sampleBranches.js", "JavaScript", 0, 0, 0, 115, 0, 0, 0, 0, 1, 116
"d:\_KienCuongAuto_\backend\seed\seedBranches.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"d:\_KienCuongAuto_\backend\server.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 12, 13, 78
"d:\_KienCuongAuto_\backend\testDis.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 1, 3, 15
"d:\_KienCuongAuto_\backend\utils\cloudinary.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\_KienCuongAuto_\backend\utils\discordLogger.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 2, 6, 33
"d:\_KienCuongAuto_\frontend\README.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"d:\_KienCuongAuto_\frontend\eslint.config.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 2, 34
"d:\_KienCuongAuto_\frontend\index.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\_KienCuongAuto_\frontend\package-lock.json", "JSON", 0, 4623, 0, 0, 0, 0, 0, 0, 1, 4624
"d:\_KienCuongAuto_\frontend\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"d:\_KienCuongAuto_\frontend\public\favicon_io\site.webmanifest", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\_KienCuongAuto_\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\_KienCuongAuto_\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 11, 14, 84
"d:\_KienCuongAuto_\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\_KienCuongAuto_\frontend\src\components\AdminRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 7, 6, 38
"d:\_KienCuongAuto_\frontend\src\components\ScrollToTop.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 3, 4, 21
"d:\_KienCuongAuto_\frontend\src\components\input\ColorSelect.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 11, 109
"d:\_KienCuongAuto_\frontend\src\components\input\FixedChatButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 19, 119
"d:\_KienCuongAuto_\frontend\src\components\input\OptimizedImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
